,0
144,"@RepMattGaetz Dear God, is there ANYBODY in the @GOP who doesn't lie their ass off?

@RepMattGaetz, you are SO bust… https://t.co/19YGaz2tqM"
145,"@rey_lowe Funds donated to ABF do not go into the general treasury, they are delivered directly to DHS per their ow… https://t.co/nThOGsf4NH"
146,"@DearAuntCrabby @Mom2Queenie @RepMattGaetz An incredible privileged liar, Auntie.  Telling people on Twitter it’s t… https://t.co/x8iLFlhSip"
147,"@HarveyStaub1 @BrianKolfage I don't know (or vouch) for this outfit, but what about these hundreds of Guatemalans s… https://t.co/ZN2GplQ6f4"
148,"Niko watches the deal while hiding behind a fence on the border of the site. He takes in the sights, observing the… https://t.co/nvHedB1B7l"
149,@EnLiEretzAheret @Legally_Israel @Carlos_Can_Do @Rae97189446 @_MattHarris_ @shoozer12 @BarkinDavid @Peppi1207… https://t.co/odVU9UThix
150,@178_lishf @Legally_Israel @Carlos_Can_Do @Rae97189446 @_MattHarris_ @shoozer12 @BarkinDavid @Peppi1207… https://t.co/hUMHhzrL03
151,U.S.-Mexico border fence almost complete https://t.co/SBKE39or0x
152,@BarryIsFunny @IlhanMN I’m hoping I miss understood the “stupid” part. I hope you where only referring to the depor… https://t.co/XkWP5Ie7ZT
153,"We clearly know where is the problem!
The border fence that separates India and Pakistan is clearly visible from th… https://t.co/aDDi5cN19N"
154,"@RepAndyBiggsAZ @RepMattGaetz Your a useless liar. You were 100 miles from the border with other liars, visiting a… https://t.co/xyQhf4wsGy"
155,Grainy black-and-white video released by the Border Patrol shows an dark object flying near light towers and over w… https://t.co/cAEXQLXyOc
156,"@DearAuntCrabby @RepMattGaetz This is how I always picture Gaetz... mouth agape (perhaps he's a mouth breather..?),… https://t.co/K77wEyDDbU"
157,@lynette530 @GrrrGraphics It appears that she has a border like fence running along the bottom of her previously open borders property.
158,"-
Border Crisis Caught on Video: 

300 Illegals Stopped 
By Armed Militia

""United Constitutional Patriots” detaine… https://t.co/GmmyL61DJF"
159,"@RepresentMeAZ @SenatorSinema @FreshProduceAA Welcome 12mln undocs #Dreamers #TPS w path2citizenship.

Smart fence… https://t.co/iQx9kbKlN6"
160,@dpbullseye @RepMattGaetz The BORDER PATROL CAUGHT THEM WITHOUT THE FENCE. Gaetz is a first class Moron. He took ph… https://t.co/zuCaCMYqyz
161,"@RepMattGaetz Sounds like they need more border patrols, not an idiotic, outrageously expensive fence that anyone can go under or over."
162,"@RepMattGaetz They got caught because ... actual border patrol agents were there! Take the wall money, boost the bo… https://t.co/wYJwf39xNE"
163,"Don't fu...ck with the American people! 
Stop lying! 
Legal Immigrants are welcome to the United States. 
Illegal i… https://t.co/alZYjFmNHk"
164,@Jaccal68 @JudgeFudge5 @CplBear @VeronicaTalbot9 @178_lishf @yoni_yonder @TheantiantiZio1 @Immort4l_Legacy… https://t.co/1O2SXukePO
165,BORDER CRISIS CAUGHT ON VIDEO: 300 ILLEGALS STOPPED BY ARMED MILITIA“United Constitutional Patriots” detained the g… https://t.co/arxUulftH7
166,@AOC You have to be the most stupid person alive along with your followers to believe that kids are being put in ca… https://t.co/vSBV8GWngA
167,"BORDER CRISIS CAUGHT ON VIDEO: 300 ILLEGALS STOPPED BY ARMED MILITIA
“United Constitutional Patriots” detained the… https://t.co/lA4KR3f5LE"
168,MINUTES AGO: Over 40 illegal immigrants caught at the border. Two border patrol agents are leading them to processi… https://t.co/72Eqpy6PzL
169,MINUTES AGO: Over 40 illegal immigrants caught at the border. Two border patrol agents are leading them to processi… https://t.co/EwzOMS4KPe
170,@CBPArizona @CBP The border fence is leaking again.
171,@csmatteson @SenatorSinema @DHSgov Check what Hungary did to secure their border. Their figures show it is an amazi… https://t.co/y0ptI6fIWg
172,@SenatorSinema @DHSgov Where we in AZ need more resources is the 200+ miles of border where there is no fence or an… https://t.co/08zloSxQug
173,"Border Crisis Caught on Video: 300 Illegals Stopped By Armed Militia - ""United Constitutional Patriots” detained th… https://t.co/wrn7nvDxRD"
174,@KaleJPhoto @czarcasm23 @isiah4congress @AOC Yes I understand what you are saying.  In my opinion.  Building a wall… https://t.co/7c610Uk0gt
175,"@AOC Obama first caged families with chain link fence cells. You are lying to say differently. The news,your libera… https://t.co/UelDCYHJm2"
176,"#pstar_bookmarks
#border
#fence
#wall
#mountains 
#gap
#illegal
#Immigration 
#Immigrants 
#drugs
#crime 
#criminals https://t.co/OPCqLhGUZm"
177,@IlhanMN I want a secure USA border!! Keep all people no what nationality from entering this country. I believe the… https://t.co/lb6E3vPfrt
178,So far 2 Arizona cities have pushed back on the @realDonaldTrump Administration’s efforts on the border. Nogales to… https://t.co/q0kYstHYXy
179,@KaleJPhoto @isiah4congress @AOC Exactly! Is the border going to have a wall or a fence then???  #CommonSense101
180,@krassenstein @realDonaldTrump Sections of the border wall/fence were built under Bush &amp; Obama.  A few miles have been repaired under Trump
181,Flashback — ‘They don’t even try’: Hungary’s new border fence called ‘spectacular success’ =&gt; https://t.co/BcfHXudTHF
182,"@ChrisJC12002 I'd love to know just who is going to implement this ""hard border"" they keep rattling on about .If we… https://t.co/p5ghhotrVE"
183,@ChiefRiddim @jesusisjustight @jorgesxc_ @anniepaulma @Vibewithdaisy Because we all know a wall will do nothing . I… https://t.co/OUBf6wPfqJ
184,@realDonaldTrump Let’s build a fence around California and open the border in San Diego
185,"AZ company says it can build border wall ""faster, cheaper' does any Republican understand the difference between a… https://t.co/ruJvD8PZnF"
186,why Kris Kobach and fellow border hawks join Army Corps in Arizona to see company's border fence proposal
187,"Hello President Trump,
Please build our Border Fence before we help ANY OTHER country rebuild anything....
My heart… https://t.co/TgzYGx3AeF"
188,"On the day its border fence was completed, the influx of illegals entering Hungary went down from 6,353 one day to… https://t.co/fs8Y6a4Fwf"
189,@KristinieWinnie @jesusisjustight @jorgesxc_ @anniepaulma @Vibewithdaisy You do realize less than half the border i… https://t.co/29GrcB8HSE
190,@AOC I don't agree with caging kids either but what is wrong with having a wall on the border? It's just a barrier.… https://t.co/v87zXpVDRV
191,"What say you now?

Just dropped 75k in las cruces to handle illegal border crossers where there was NO FENCE AT ALL https://t.co/HxEJH79xOh"
192,@ColeNeumann @JylSargent @SorenSimonsen @SleepratLisa @realDonaldTrump The mexico-usa migration has always been ver… https://t.co/qQCvpIsJDz
193,why Border Patrol agent explains why gates are left open on border fence in El Paso
194,Currently at the border fence in Hidalgo awaiting the arrival of DHS Acting Secretary Kevin McAleenan. Good-sized m… https://t.co/EvRZGVvSf3
195,@thehill Is it enough to build a border fence...or wall? How about getting Flint clean water? Puerto Rico still nee… https://t.co/5k1VITIHQe
196,We have already sent money to Central America. That didn't work. And  what money did the Democrats offer for the bo… https://t.co/EcOg411MLF
197,@LetsRoc137 @amnesty @hrw @OmarSShakir That is a complete lie. The marches are designed to break through the border… https://t.co/pCL9RaZEPo
198,"1) Eyes open
From this Dec 2017 article:
 ""In 2006, Rep. Peter King, a New York Republican, introduced a plan to bu… https://t.co/w4VtllgNaS"
199,@TommyHicksGOP The President needs to shut the border down. Congress will never fix this issue.  The secure border/… https://t.co/i8JhiVTTU9
200,"In El Paso, @CBP are apparently holding hundreds of asylum seekers in tents in a parking lot below Paso del Norte b… https://t.co/n9fB7hyQin"
201,"@realDonaldTrump Does that mean you won’t be golfing at all during the government recess?

But don’t let me interru… https://t.co/0wsZfeBR4s"
202,"@RepMattGaetz Doing more filming? 
Lying where you are. 
Lying about a fence. 
Lying about everything. 
You are too… https://t.co/an8CbVYMVC"
203,@talkRADIO Nothing wrong with flying any flag.    I wouldn’t like it if it was on the border of my property. If I l… https://t.co/hIymGxAfSK
204,@tmpena @FinnWilson9 @TracyFo47710566 @TomiLahren @realDonaldTrump i didnt say seeking asylum was illegal. i said c… https://t.co/OfkTpnTbAq
205,"@RepMattGaetz We are the greatest country in the world, yet we can't find a decent border fence!  Why?  Democrats, that's why!"
206,"@4YrsToday Nope, my work involves travel between 3 different border cities where most immigrants come in and all I see is a pathetic fence."
207,https://t.co/pNNbaKjYgl
208,WATCH: Touring the US/Mexico border over Arizona. You can see the current border fence between the mountains - ther… https://t.co/ijrGoKSs3Y
209,@realDonaldTrump You still haven’t figured out the difference between a wall and a fence. A wall you can’t see thro… https://t.co/QnZJZsB48H
210,Flashback — ‘They don’t even try’: Hungary’s new border fence called ‘spectacular success’ =&gt;… https://t.co/3rHAFbei46
211,"#Latvia builds a 93 km #fence on the #border with Russia. #Lithuania has also begun. 
At the end of 2018, Russia bu… https://t.co/891qI0PIZa"
212,"Not on the Network News

https://t.co/fZshZhEs6R"
213,@erinbiba And Puerto Ricans are still suffering after trump pulled FEMA funding and used it to play games with his border fence.
214,Kris Kobach and fellow border hawks join Army Corps in Arizona to see company's border fence proposal https://t.co/3mciMqYWN9
215,"Illegals Storm Mexico's Southern Border, Jump Fence To Join Migrant Caravan https://t.co/kz0DBbGxKl via @yidwithlid"
216,"@RepMattGaetz 🥴 have another drinky drinky, liar! 🤥 Too bad you’re standing by a *fence* prototype 💯miles from the… https://t.co/pDXksHs1pL"
217,@LynneStone1968 @Barbann76 @ElizaReynick @Dance_Always__ @furburglarr @splintergroupie @amybs25 @FlaCoconuts… https://t.co/dl9lQ160Y9
218,@HARRISFAULKNER Yuma mayor border emergency..Wondering where the 3 buses came from yesterday that dropped off 400 i… https://t.co/mSlqzT7Jgy
219,My state. We have no tall border fence! Only the 3' tall walk across barrier from Bush era.MUCH of southern AZ is n… https://t.co/UQB430ya97
220,"Mr. President: whaddya say?
@realDonaldTrump

Kris Kobach and fellow border hawks join Army Corps in Arizona to see… https://t.co/DtWWqSfX9x"
221,"'Hostile' migrants break border gate to enter Mexico, then attack police — and they're headed north https://t.co/y9ns5od69V"
222,"'Hostile' migrants break border gate to enter Mexico, then attack police — and they're headed north https://t.co/vtog76PaXq"
223,@ShaunKnox4 @trumprocks4u @EdKrassen @realDonaldTrump 700 miles of fence already existed under Obama... old section… https://t.co/61teIxVGrT
224,"But hey, who cares because they're not your children being raped or murdered right? Here are just a few of the… https://t.co/tzKQYTEl2J"
225,Kris Kobach and fellow border hawks join Army Corps in Arizona to see company's border fence proposal https://t.co/lLT5QzVulg
