,0
185,@Rep_Hunter Youre a disgraceful idiot. I was born and raised along the border. Ive lived my entire life less than a… https://t.co/8WqH31j7pC
186,@seanhannity @JaySekulow @PressSec @DevinNunes @GreggJarrett @SaraCarterDC @marklevinshow ...CAN U ALSO MENTIONED A… https://t.co/Afl5HI5BLG
187,"@TomiLahren Not wall to wall? Come on Tuna, respect the The kneel. And isn’t that what you do with border patrol agents?"
188,"@JackPosobiec Excellent!  Just spend that on a border wall in the south of Europe!

That'll do more to protect Euro… https://t.co/SScAuCf6Rm"
189,@IlhanMN They’re not cages. These are makeshift detention facilities that won’t be needed when Trump FINISHES THE W… https://t.co/1mffzFfGC7
190,"Kita membangun border wall sendiri untuk menerima informasi yg masuk...
Mata kita cuma liat apa yg di dalem border… https://t.co/5kZ5kRZs6n"
191,@BY1959 @googlenews That's strange. I thought the border wall was everything to her.
192,"New alternative to Trump's wall would create jobs, renewable energy, and increase border security https://t.co/VquPro6qkf"
193,U.S. Customs and Border Protection installs El Paso border wall https://t.co/AbbvPMHle4 via @YouTube
194,I’m very proud to be an American citizen and being able to prosper under what I believe to be the greatest Presiden… https://t.co/Od87p8JyA5
195,"COMING UP: Can President Trump use emergency powers to build the border wall?

On April 22, don’t miss an… https://t.co/GbYBfnd3Qc"
196,@Dreadpirate42 @SeanWoodard18 @Black_is_back5 @HackDz_Revenge @mattrellen @BloodyVal69 @John12Snow @djmobey… https://t.co/ShYKkNPzff
197,@Crystal81046451 @SpeakerPelosi I don't give a damn who pays for the wall it is needed or at least efforts to provi… https://t.co/43DZwNVwvM
198,"@EdKrassen @krassenstein @realDonaldTrump https://t.co/gOVt8UBcyS - New reports from Carlos Diaz, southwest branch… https://t.co/mQOBMBrgUA"
199,@DaveEll57279091 @IlhanMN I live 2 hrs from the border in Texas I go to Mexico all the time.  Don't feed me that. Existing Wall!
200,"Llego la era del fronterizo 2.0

‘Borderland Citizenship’ Could Bring Justice to Both Sides of Trump’s Wall via… https://t.co/12CZPnPYV3"
201,Home Depot thanks https://t.co/Dho7M1mQjp
202,"(Trigger Warning) 
My dad once drove across the Spanish-Portuguese border when both sides were fascist dictatorship… https://t.co/mMOHAsfmQx"
203,@SenMcSallyAZ Here you go with partisan politics. Heard you today on radio blaming dems for border. Pres. declared… https://t.co/8rwJh3Jhmr
204,"Trump's America...
TrumpCare disaster
mass deportations 
family separations 
wall of fear 
women marginalized 
Nazi… https://t.co/x9rgJZgDbE"
205,@SenatorWicker Don't let Wicker fool you.He has done everything possible to undermine The President.He joined with… https://t.co/NUuuhZbN19
206,"“The group has repeatedly appeared in local news stories in recent weeks, expressing support for Donald Trump’s pro… https://t.co/IDANpMxZP8"
207,@dcexaminer @AnnCoulter @realDonaldTrump @BernieSanders She must have started using the drugs coming across the bor… https://t.co/KgSN1287PS
