,0
104,@SenatorRomney Then do something about it. Imagine if all federal employees followed the standard set by trump. Ima… https://t.co/DmLKVaVspj
105,Federal employees deserve a better boss than @realDonaldTrump do you really want the entire federal workforce emula… https://t.co/DUmvJhYFtE
106,@GovMikeHuckabee Why are these people not arrested for Threatening the death of American Citizens and Employees of… https://t.co/BDI4t71IDG
107,"#LiarLiar

Isn't this a crime for federal employees?

AFF

https://t.co/gbcBpLc6sh"
108,"On 24th anniversary of Oklahoma City bombing, NTEU remembers 168 people—many federal employees—who lost their lives. https://t.co/w1lT5Xt8fA"
109,AFP fear relatives of gangsters are working for government agencies. The Australian Federal Police and government a… https://t.co/j4MAWBJRlg
110,@JackPosobiec @AprilDRyan Sec 115(a)(2) of Title 18 covers threats against all Federal employees... when such threa… https://t.co/lXBw9mHYuk
111,"@JackPosobiec Sec 115(a)(2) of Title 18 covers threats against all Federal employees... when such threat is done ""w… https://t.co/jIC8gAhO3M"
112,"Zillow on Friday filed two lawsuits against Compass, alleging the tech-enabled brokerage poached its employees as p… https://t.co/BirmUD754F"
113,"@realDonaldTrump The Washington Post readers have fallen so low, they allow federal employees to read it free, if t… https://t.co/tntsTITNuc"
114,@TuckerCarlson  @seanhannity  @dbongino  Did the Several Federal Employees of LEADERSHIP who have Grifted us before… https://t.co/no2rcKHIZh
115,@Lawrence you were so intense about trump and 9/11...Daily News &amp; Rep. Crowley reported his getting 150k from a Fed… https://t.co/I0HSAuICjf
116,".@OIG has proof from prior review FBI accepted sufficient stuff (expensive dinners, tickets…) According to 5 CFR 67… https://t.co/OMQjVQRXQg"
117,Federal Judge Linda Parker says EPA employees knew lead was leaching from old pipes because Flint's water wasn't be… https://t.co/QCF4imslqt
118,Employers must understand that termination of an employee can come with some risk. It is important to follow employ… https://t.co/yQGbtsuOhY
119,"📷 austinkleon: A Disgruntled Federal Employee’s 1980s Desk Calendar During the eighties, a nameless... https://t.co/gUl7HaHuQ5"
120,"@IrishPatty54 @ewarren How so? McCabe and James Baker (LEAD FBI COUNSEL), both top echelon gov. employees are both… https://t.co/mz37jxrCXc"
121,"@JerriDougherty @secretstranger9 Romney is a Mormon. Utah is mostly Mormon, which would explain how got elected. Al… https://t.co/fahPYy8bUr"
122,@meowtis37 @CNN @ScottJenningsKY @CNNOpinion Federal funds can not be used for local school district employees.  Pr… https://t.co/ry2ylMvnAI
123,"In #Canada, there are federal &amp; provincial #privacy legislations that requires consent for the collection, use and… https://t.co/H0tkE4dho6"
124,@SheilaDFitz But it may only apply to federal employees
125,"@ImP_ASCIIM0V @peterdaou @IlhanMN @DigitalCivilWar So, every military member and their family are wealthy? Half of… https://t.co/2TMeGcCoLv"
126,@SenWarren Like the GND?  Anything that is federally run is a waste of time because you federal employees are a was… https://t.co/qXcY3D8OH4
127,@GOP @Jim_Jordan All of the Federal Employees listed above have violated their Oath of Office and the U.S. Constitu… https://t.co/K5p5FuDOVo
128,@dericklyoung @Timo275 @BernieSanders medicare for all will actually free businesses from having to provide healthc… https://t.co/c86CtY2TM7
129,"@BrendanBlaber Min here in Wyoming is $7.25, the Federal Minimum, but absolutely no one here makes that little. Fas… https://t.co/1u5zO8MmXH"
130,Thank you @astellasus employees for bagging federal food for us! They bagged 500 15-pound bags for our shoppers. 💙 https://t.co/LWSz8gzT9W
131,@jam_kamal Who are these Federal Employees?  punjabis! Why don't you use the Baluchistan resources on the local com… https://t.co/XrPg8ny2i7
132,"On this date in 1995 in Oklahoma City, a federal building was destroyed, 168 federal employees, visitors and childr… https://t.co/kqOupXaVbr"
133,@AngelGotti5 The indictments are on the way. I'm guessing some federal employees in West Virginia and Alabama DOJ w… https://t.co/cZ0At6e7cY
134,"@thehill @CoryBooker I don’t understand how you can read the report &amp; say, we’re not there yet.  If not now, when!… https://t.co/hz2quFg9Mu"
135,Companion Bill Introduced to Provide Tax Break for Some Federal Employees https://t.co/84eC6KMaVL https://t.co/d7cQ8A9hPz
136,@booda_cat @Mongo3804 @mick719 @chrisg409ubc @joanne48640679 @Vincenz42493578 @TrumpsTrucker @Yuwantokno1… https://t.co/d5HFCJRdxD
137,@SenatorRomney @MittRomney You are a successful businessman. The GOP is known as being pro business. You would fire… https://t.co/Qa4S5iD435
138,"Greetings all! We have extended the deadline for applications for the U.S. Federal, State and Tribal Employees scho… https://t.co/1LlqdkOrDB"
139,"All Employees: Government: Federal Government in Silver Spring-Frederick-Rockville, MD (MD) https://t.co/6pWcXAO6p2"
140,"the government is not immune from a lawsuit.
There was no ruling on if federal employees were negligent in addressi… https://t.co/Do8YYdsOYs"
141,"""It is essential that the IRS take appropriate steps to ensure that employees who willfully do not comply with the… https://t.co/UmT6Yaww0I"
142,ALABAMA POWER CO EMPLOYEES FEDERAL POLITICAL ACTION CMTE (APC EMPLOYEES FEDERAL PAC) https://t.co/JH3SPV47eD
143,Don't let poor employees to suffer in the already critical financial crisis not being paid their Salaries since… https://t.co/5pcxEqoUZj
144,.@CharlieCrist notes the ban on cannabis use by federal employees is a discriminatory policy that disproportionally… https://t.co/Ms1LcgJDZK
145,@P4AHCF Most of your employees would be better off as federal employees. The execs can be sent to the gulag
