,0
137,"Deputy press secretary Hogan Gidley lies about lying, saying Trump is keeping his promise to 'Build the wall'. Wall… https://t.co/rlVJc5e2r7"
138,CBC took a break from its wall to wall coverage of Trump to remind viewers that it is important to continue taxpaye… https://t.co/QkBvDURRGr
139,Laura Ingraham is so off the wall on the Mueller report. In her bass drone voice she accuses the ”left” of twisting… https://t.co/qZemn8sB20
140,"@benshapiro wants a wall for Israel but not for America, and thinks Trump is a criminal...figure it out folks. https://t.co/ZSqHRWsPf5"
141,"@maggieNYT You’re just noticing this now???  It’s the Mitch McConnell Presidency.  He gets what he wants (tax cuts,… https://t.co/p9zoqVCGau"
142,"@JRubinBlogger Ma’am, turns out Trump was innocent. Democrats made poor choices, the press made poor choices. Maybe… https://t.co/Kg2RndQ8IL"
143,Reading argumentative essays from my classmates talking about how the trump wall is bad and half of their arguments… https://t.co/SEQ33sxsfh
144,"@Alyssa_Milano Really in all seriousness, what it changes is everything. @POTUS Trump gets another term (4years), A… https://t.co/do7jMOkMuU"
145,Donald Trump - The Beast (RFID CHIP) The WALL is the Robots (KEEPING YOU... https://t.co/wNGdgdJDAa via @YouTube
146,Donald Trump - The Beast (RFID CHIP) The WALL is the Robots (KEEPING YOU IN) Calm Before The Storm! https://t.co/zwxuLvQwtL
147,"@Newsday Do they treat Trump Derangement Syndrome? 

There are a few million off-the-wall Democrat Socialists who r… https://t.co/xtFC1l9pv3"
148,"@UnDiscipline I think that if Republicans see the writing on the wall ala 1974 and Nixon, they’ll subtly push him o… https://t.co/TjewT4qH3u"
149,@HanksMom44 @DavidWohl @realDonaldTrump @TuckerCarlson It always makes me laugh when Trump is now saying the new tr… https://t.co/UL1hcCSJij
150,"@TomiLahren You know what else is a complete disgrace, a waste of time and a huge disservice to the American people. Trump's wall."
151,"@SanJuanBill70 @VickiLR52 @I__LOVE_TRUMP He completely punked Ryan! Hahaha. No, if I were him I’d frame it and hang… https://t.co/EvPZfylsJ8"
152,Trump’s border wall criminalises people at the border; people who are fleeing conditions the US created #marxism2019 #teardownthewalls
153,"FDR: We have nothing to fear but fear itself!

Kennedy: Ask not what your country can do for you, but what you can… https://t.co/RYcr8xyUsD"
