,0
139,"@POTUS  @WhiteHouse @realDonaldTrump @DonaldJTrumpJr 

Deputize these Patriots !!

@GOP @HOUSEGOP @SENATEGOP does N… https://t.co/G3c4YP84kx"
140,"Please Support this campaign so that i can go and do journalistic work, as  an independent journalist at the #US/… https://t.co/qSaSKYoFYl"
141,Videos appear to show armed militia detaining migrants at US-Mexico border https://t.co/T93g3m3l3z
142,Videos appear to show armed militia detaining migrants at US-Mexico border. So we have armed vigilantes confronting… https://t.co/yvVweCL9g0
143,"After months apart, a handful of separated families tearfully reunite at U.S.-Mexico border | By Andrea Castillo https://t.co/P1dj0iOvgW"
144,"New Mexico right wing militia groups are detaining migrants at the border, report says - CNN  https://t.co/fHxRN5pUYh"
145,"What a horrific story. An extremist, extrajudicial militia group in New Mexico detaining and kidnapping hundreds of… https://t.co/2ZKZQsJ8HN"
146,"“completely unacceptable” that migrants be “menaced or threatened” upon entering the U.S.""

Uncontrolled borders ar… https://t.co/0dyfVwRdZs"
147,What are @fbi and @CBP going to do about the armed gangs detaining refugee asylum seekers at the US border?… https://t.co/lpzm1YEzeQ
148,@eeerox @AlOtroLado_Org @NoMoreDeaths @TheTinaVasquez It's also legal now to shoot and kill kids in Mexico while fi… https://t.co/OJYcQzkqVB
149,These migrant families fled their homes because of violence &amp; conflict &amp; now rogue militias along the border are in… https://t.co/KeO8cElJuT
150,"@realDonaldTrump Said I will choose Safety over Business 
#GOP says NO YOU WILL NOT. #Trump back peddling from clos… https://t.co/treEthKIkj"
151,Videos appear to show armed militia detaining migrants at US-Mexico border [The folks with the guns certainly look… https://t.co/hU2rPMugRh
152,"This is horrifying. 

New Mexico militia group detains migrants at the border - CNN https://t.co/M6hwUTSp8x"
153,We need more militias along the border. That's 200 that would have slipped through and the New Mexico Gov is okay w… https://t.co/vSvxlBAPyb
154,New Mexico militia group detains migrants at the border - CNN https://t.co/9MJuST2WG7 #SmartNews
155,New Mexico militia group detains migrants at the border - CNN  https://t.co/sCrFo38Ipr
156,"These racist, vigilante militias are breaking the law and violating asylumseekers' #humanrights by kidnapping and d… https://t.co/7Cd1pRIphV"
157,New Mexico militia group detains migrants at the border - CNN https://t.co/C9Lwxn7MU3 #SmartNews
158,https://t.co/gFEF4B54cg https://t.co/bA2dVDCOwd
159,ABOLISH ICE! ABOLISH BORDER PATROL! SHUT DOWN THE DETENTION CENTERS!  One of the Deadliest Places on the Southwest… https://t.co/wyqbJd3XDt
160,@CNN @MSNBC @HATEWATCH  @BBCWorld @PBSNewshour @ACLU @Votolatino @NBCLatino U S White Supremacy Border Klan  New Me… https://t.co/R4nu4LLklG
161,"New Mexico Voters need to RECALL Michelle Lujan Grisham, She is putting all of us in danger by denying the emergenc… https://t.co/epV8FhrRRQ"
162,Videos appear to show armed militia detaining migrants at US-Mexico border | US news | The Guardian https://t.co/VBkbymOTbK
163,2019 @realDonaldTrump  is the crisis • Chart: Is The U.S. Really Experiencing An Immigration Crisis? | Statista https://t.co/Up9ONG0jyo
164,"And here we go....New Mexico militia group is detaining migrants at the border, report says - CNN #SmartNews  https://t.co/oiCNu1x1Af"
165,So now we’re racing through super narrow tunnels under the US/Mexico border in sports cars while Wonder Woman yells… https://t.co/S6ajdqtZZc
166,"They are illegal aliens, not asylum seekers.... https://t.co/2DFMoRznGe"
167,Videos appear to show armed militia detaining migrants at US-Mexico border https://t.co/U9hlxIcrGh
168,Border Chaos As Private Militia Engages 300 Migrants https://t.co/xMVC8T434X
169,About Damn Time 🇺🇲💯🇺🇲💯🇺🇲 https://t.co/Ns4JsFodLe
170,Brilliant! https://t.co/uGVU99yHZd
171,"New Mexico militia group is detaining migrants at the border, report says - CNN https://t.co/4PulwdCKCn #SmartNews"
172,It seems that terrorists are now patrolling the US border with Mexico. https://t.co/Jjos3OPnqw
173,Alarming Footage: 91 Illegals Stopped By Patriots Patrolling US/Mexico Border https://t.co/DMAaMfSN5t
174,Videos appear to show armed militia detaining migrants at US-Mexico border https://t.co/D6ctJH0Eil
175,"When New Mexico escapes from #Dems, ordinary Citizens won't have to defend it's border

New Mexico militia detains… https://t.co/lLcAtLspvK"
176,New Mexico militia detains migrants at gunpoint until Border Patrol arrives  https://t.co/50ackphSkp
177,"New Mexico militia group is detaining migrants at the border, report says - CNN  https://t.co/i32rnoz8o8"
178,Videos appear to show armed militia detaining migrants at US-Mexico border https://t.co/DvMKnVCeLu
179,"https://t.co/6VWzxe51XK
1 dead body found on our side.
Trudeau has no control of our border's, US agents stopped 12… https://t.co/RoVAgcgeDE"
180,Another municipality declares border emergency. https://t.co/2wYbJ4lAEE
181,Videos appear to show armed militia detaining migrants at US-Mexico border https://t.co/mGI7qyfspm
182,"New Mexico militia group is detaining migrants at the border, report says - CNN #SmartNews 

WTF?! Allowing armed v… https://t.co/HEDBpRPekM"
183,"New Mexico militia detains migrants at gunpoint until Border Patrol arrives: report

https://t.co/shnnL9ef6h"
184,"Seattle WA - ""New Mexico militia group detains migrants at the border - CNN"" -  https://t.co/npQzExAto3 - ""Viva Les Etats Unis!"""
185,https://t.co/eb2JQlOXT2
186,Stop the migrants coming through our Southern Border!  https://t.co/9ikBgXF9lJ
187,"New Mexico militia group is detaining migrants at the border, report says  https://t.co/sSZKo2k6dm"
188,Militia detains migrants at gunpoint along the US-Mexico border - https://t.co/AISKL1y7im -  Media playback is unsu… https://t.co/Tzug1YJY8K
189,New Mexico militia detains migrants at gunpoint until Border Patrol arrives: report https://t.co/1hIou4dO8U
190,Trump supporters illegally detaining migrants near border:   https://t.co/abZtjVUmvX
191,"@amyklobuchar How much more time and millions in tax payer dollars will be spent on this? There's a 2,400 man illeg… https://t.co/EeGgr3fXGW"
192,A right-wing militia has begun detaining groups of migrant families at gunpoint before handing them over to Border… https://t.co/5HwxqM1WMJ
193,"@CoryBooker How much more time and millions in tax payer dollars will be spent on this? There's a 2,400 man illegal… https://t.co/6CybKNxk8c"
194,"@PeteButtigieg How much more time and millions in tax payer dollars will be spent on this? There's a 2,400 man ille… https://t.co/dJfXFsWXOZ"
195,"@ewarren How much more time and millions in tax payer dollars will be spent on this? There's a 2,400 man illegal al… https://t.co/cSGNpy1bqv"
196,"@KamalaHarris How much more time and millions in tax payer dollars will be spent on this? There's a 2,400 man illeg… https://t.co/NFrqimG6mb"
197,New Mexico militia group detains migrants at the border - CNN https://t.co/9cVVVGjH2g
198,Videos appear to show armed militia detaining migrants at US-Mexico border https://t.co/uA3x1XA9dE
199,"@SenGillibrand How much more time and millions in tax payer dollars will be spent on this? There's a 2,400 man ille… https://t.co/uLxWS1a2hg"
200,"Trump's army: More than 300 asylum seekers surrender to armed militia of 'New Mexico residents, veterans and ex-cop… https://t.co/5FP9WqU6ez"
201,Border Chaos As Private Militia Engages 300 Migrants https://t.co/e7Qrl0ACnV
202,New Mexico militia group detains migrants at the border - CNN https://t.co/WsGvPSuPjq
203,#AlarmingVideos appear to show #armed #militia #detaining migrants at US-Mexico border https://t.co/wmPubwWHnZ
204,"Contrary to what liberal lawmakers say, American citizens have every right to detain people who are ILLEGALLY break… https://t.co/vpoehQeJBw"
205,US CITIZENS PROTECTING THEIR COUNTRY AGAINST A LATINO DEMOCRAT GOVERNOR &amp; DEMOCRAT CONGESS THAT WON'T &amp; WANTS OPEN… https://t.co/QqtGnogkZb
206,"https://t.co/eSLx5K1ge1 Hopefully more Americans enter the malitia! And to the idiotic mayor of New Mexico, it's called Citizens Arrest!"
